index,Label,Text
104,negative,@AGrl21 @Alfreds86347959 @MrsKathyC @jadapsmith I donâ€™t need stats. Thereâ€™s videos of kops frightened of a man with a sandwiches &amp; cell phones. Kops frightened of men driving away from them. President trump has proof that the election was stolen so stats donâ€™t mean shit.People are dead because kops donâ€™t no a taser from a gun.
105,negative,Good morning. Here is where we are. I thought the Fox News Justices might be well to the right of the median voter and provoke a crisis like 1936. Now I worry that the GOP is well to the right of the median voter but will take power anyway through election fraud and force. Sigh.
106,not negative,@pollyannathibo1 @ChrisCarr_Ga The Secretary still certifies the election. That is unchanged in this law. Some counties have and do Vail their voters and need to have accountability. If no law had passed all drop boxes in the state would have to have been removed so w/o the law the number of Dropboxes is zero.
107,not negative,"@WLHEARNS @kylegriffin1 @JoyAnnReid @GovKemp Well, that also isnâ€™t true. There were no lines on Election Day in November or January. The law actually mandates that any polling location w/ 2k or more voters and there is a line of 1 hour or more at any point of the day, it has to split the locations voters or add equipment."
108,negative,"@mjrobertson1961 @outfoxed_toni @bluestein @CocaCola @MLB It took away drop boxes, it shortened voting to 5pm, it decreases voting locations in Atlanta, it says you can only have early voting Saturday OR sunday not both. It takes away the SOS oversight and lets the republicans choose any crooked person they want to oversee the election"
109,negative,"@WillDad @politicalinsidr @DougRobersonAJC @ajc @dwickert Having the run off 4 weeks after the general. Since it takes 2-3 weeks to certify the election and absentees canâ€™t be ordered after 11 days before the election, there will be few to no absentees. Early voting will be at most a few days. This is a massive restriction."
110,not negative,"@UnimpressedTX @TNConserv13 @danjasper @StaffSergeant18 @guypbenson @McCormackJohn @storm_paglia â€˜Itâ€™s now illegal for election officials to mail out absentee ballot applications to all voters.â€™ 
This has never been a thing in GA. Youâ€™ve always had to request an absentee ballot. Under the governors Covid emergency plan last year, they sent out mail in ballots to everybody."
111,negative,"Gabriel Sterling or Marc Elias? _Ÿ_” I'll bet my last dollar on Marc any day. Sterling was key for 2020 election, but he has proven himself to be a liar. He denied 5 hr waits in GA in the last election knowing that was BS. I consider him bought and paid for by the GOPQ. https://t.co/nv6H2EL3JI"
112,not negative,"@Phil_Davis_ @kristibjork @Delta I was telling the truth after the November election. Iâ€™m telling the truth now. This isnâ€™t the law I would have written in some ways, but it isnâ€™t voter suppression. Saying it is doesnâ€™t make it so. It is much easier to vote in Georgia than in most of the country."
113,negative,"@ArkieGrower @DGray_2019 @McRouvi These 3 issues in particular arose as a result of the runoff election in JAN which DEMs Warnock &amp; Ossoff won, shocking the GOP (idiots!) Since more DEMs voted than usual, traitor GOP are grasping at any &amp; all ways 2 suppress DEM votes 2 grab power. Theyâ€™ve poked a sleeping lion_Ÿ”¥"
114,not negative,"@MrBobbyHill3 @NichollsLorelei @mattdizwhitlock @FoxNewsSunday @HolmesJosh Yep. 1st, it only applies to the next election. Does zip for one in progress.  Places that are hardest hit are not always the same. Usu associated with reassigning/redrawing precincts and allocation of equip. And the new law puts 100% of the $ burden for that on the counties. /1"
115,negative,"@aydreahna @BrianKempGA I guess the thought by MLBPA is that MLB fans in GA will feel alienated by their reps for forcing their hand instead of blaming their favorite players &amp; in turn show up in the next election

But it sounds a lot like trickle down economics to me: BS in application &amp; everyone loses"
116,negative,"You must be bi-polar during the election you fought to express how our election was fair and legal, now this bill you rushed to sign in law you said to do the same thing, which one is true? Was it fair then or now? True Liars never know how to tell the Truth, you are True! https://t.co/CVscQSDcpH"
117,negative,"@JamesWilson0904 @BartBuff All that is true. To me, even more so, is just the bad optics. Looks like Bull Connor tactics when she is legally allowed to go in there. Let her in. She disrupts the event, then you plenty of election footage fodder. Either they are really stupid or so desperate to hold power."
118,negative,"@noparty4523 @DonaldJTrumpJr No the election was stolen from Trump and if you can see how much he's slipped out of His mind, Nancy the creep keeper is calling the abita, what did go say in his last brifing he said I'll do whatever you want me to Nanc. Lol dont talk crazy we choose Trump and yall stole it."
119,not negative,"@Govshina @bukolasaraki @OfficialPDPNig Shina , You are aware that Principal Bukola reports to Alhaji ... We only pray that Alhaji doesnâ€™t contest but to win the presidential election in Nigeria I repeat you need a Fulani man as President or VP on that ticket .. Itâ€™s no one fault but the fore fathers faults"
